Father,Mother,Gender,Height,Kids
78.5,67,M,73.2,1
78.5,67,F,69.2,2
78.5,67,F,69,3
78.5,67,F,69,4
75.5,66.5,M,73.5,1
75.5,66.5,M,72.5,2
75.5,66.5,F,65.5,3
75.5,66.5,F,65.5,4
75,64,M,71,1
75,64,F,68,2
75,64,M,70.5,3
75,64,M,68.5,4
75,64,F,67,5
75,64,F,64.5,6
75,64,F,63,7
75,58.5,M,72,1
75,58.5,M,69,2
75,58.5,M,68,3
75,58.5,F,66.5,4
75,58.5,F,62.5,5
75,58.5,F,62.5,6
74,68,F,69.5,1
74,68,M,76.5,2
74,68,M,74,3
74,68,M,73,4
74,68,M,73,5
74,68,F,70.5,6
74,68,F,64,7
74,66.5,F,70.5,1
74,66.5,F,68,2
74,66.5,F,66,3
74.5,66,F,66,1
74,65.5,F,65.5,1
74,62,M,74,1
74,62,M,70,2
74,62,F,68,3
74,62,F,67,4
74,62,F,67,5
74,62,F,66,6
74,62,F,63.5,7
74,62,F,63,8
74,61,F,65,1
73,67,M,68,1
73,67,M,67,2
73,66.5,M,71,1
73,66.5,M,70.5,2
73,66.5,F,66.7,3
73,65,M,72,1
73,65,M,70.5,2
73,65,M,70.2,3
73,65,M,70.2,4
73,65,M,69.2,5
73,65,F,68.7,6
73,65,F,66.5,7
73,65,F,64.5,8
73,65,F,63.5,9
73,64.5,M,74,1
73,64.5,M,73,2
73,64.5,M,71.5,3
73,64.5,M,62.5,4
73,64.5,F,66.5,5
73,64.5,F,62.3,6
73,64,F,66,1
73,64,F,64.5,2
73,64,F,64,3
73.2,63,F,62.7,1
72.7,69,M,73.2,1
72.7,69,M,73,2
72.7,69,M,72.7,3
72.7,69,F,70,4
72.7,69,F,69,5
72.7,69,F,68.5,6
72.7,69,F,68,7
72.7,69,F,66,8
72,68,M,73,1
72,68,F,68.5,2
72,68,F,68,3
72,67,M,73,1
72,67,M,71,2
72,67,F,67,3
72,65,M,74.2,1
72,65,M,70.5,2
72,65,M,69.5,3
72,65,F,66,4
72,65,F,65.5,5
72,65,F,65,6
72,65,F,65,7
72,65.5,F,65.5,1
72,64,F,66,1
72,64,F,63,2
72,63,M,70.5,1
72,63,M,70.5,2
72,63,M,69,3
72,63,F,65,4
72,63,F,63,5
72,63,M,69,6
72,63,M,67,7
72,63,F,63,8
72,63,M,73,9
72,63,M,67,10
72,63,F,70.5,11
72,63,F,70,12
72,63,F,66.5,13
72,63,F,63,14
72.5,63.5,F,67.5,1
72.5,63.5,F,67.2,2
72.5,63.5,F,66.7,3
72,62,F,64,1
72.5,62,M,71,1
72.5,62,M,70,2
72.5,62,M,70,3
72.5,62,F,66,4
72.5,62,F,65,5
72.5,62,F,65,6
72,62,M,74,1
72,62,M,72,2
72,62,M,69,3
72,62,F,67.5,4
72,62,F,63.5,5
72,62,M,72,6
72,62,M,71.5,7
72,62,M,71.5,8
72,62,M,70,9
72,62,F,68,10
72,61,F,65.7,1
71,69,M,78,1
71,69,M,74,2
71,69,M,73,3
71,69,M,72,4
71,69,F,67,5
71,67,M,73.2,1
71,67,M,73,2
71,67,M,69,3
71,67,F,67,4
71,66,M,70,1
71,66,F,67,2
71,66,F,67,3
71,66,F,66.5,4
71,66,M,70,5
71,66,M,69,6
71,66,M,68.5,7
71,66,F,66,8
71,66,F,64.5,9
71,66,F,63,10
71,66,M,71,11
71,66,F,67,12
71,66,M,76,13
71,66,M,72,14
71,66,M,71,15
71,66,M,66,16
71,66,F,66,17
71.7,65.5,M,70.5,1
71,65.5,M,72,1
71,65.5,M,72,2
71,65.5,M,71,3
71,65.5,M,69,4
71,65.5,F,66,5
71,65.5,F,65,6
71.5,65.5,M,73,1
71.5,65.5,F,65.2,2
71.5,65,M,68.5,1
71.5,65,M,67.7,2
71,65,M,68,1
71,65,M,68,2
71,65,F,62,3
71,64,F,68,1
71,64,F,68,2
71,64,F,67.5,3
71,64,F,66.5,4
71,64,F,66.5,5
71,64,F,66,6
71,64,F,65.5,7
71,64,F,65,8
71.7,64.5,M,72,1
71.7,64.5,M,71,2
71.7,64.5,M,70.5,3
71.7,64.5,F,67,4
71,64,M,68,1
71,64,M,68,2
71,64,M,68,3
71.5,64.5,M,72,1
71.5,64.5,M,71,2
71.5,64.5,M,70,3
71.5,64.5,F,66,4
71.5,64.5,F,64.5,5
71.5,64.5,F,64.5,6
71.5,64.5,F,62,7
71.2,63,F,67.5,1
71.2,63,F,64.5,2
71,63.5,M,71,1
71,63.5,M,67,2
71,63.5,F,66,3
71,63.5,F,65,4
71,63.5,F,63.5,5
71,63,M,71,1
71,63,M,70,2
71,63,M,70,3
71,63,M,64,4
71,63,F,65,5
71,63,F,65,6
71,63,F,64,7
71,63,F,63,8
71,63,F,63,9
71,63,M,71,10
71,63,M,71,11
71,63,M,70,12
71,63,F,63.5,13
71,62,M,71,1
71,62,M,70,2
71,62,F,64.5,3
71,62,F,62.5,4
71,62,F,61.5,5
71,62,M,72,6
71,62,M,70.5,7
71,62,M,70.5,8
71,62,F,64.5,9
71,62,F,60,10
71,62.5,M,70,1
71,62.5,F,64,2
71,62.5,F,64,3
71,62.5,F,64,4
71,62.5,F,62.5,5
71,62,M,70.5,1
71,62,M,70,2
71,62,M,69,3
71,62,M,69,4
71,62,M,66,5
71,62,F,64.5,6
71,62,F,64,7
71,61,F,62,1
71,58,M,71.5,1
71,58,M,69,2
70,69,M,71,1
70,69,M,70,2
70,69,M,69,3
70,69,F,69,4
70,69,M,70,5
70,69,M,68.7,6
70,69,F,68,7
70,69,F,66,8
70,69,F,64,9
70,69,F,62,10
70,68,M,75,1
70,67,M,70,1
70,67,M,69,2
70,67,F,66,3
70,67,F,64,4
70,67,F,60,5
70,67,F,67.5,6
70,66.5,M,73,1
70,66.5,M,72,2
70,66.5,M,72,3
70,66.5,M,66.5,4
70,66.5,F,69.2,5
70,66.5,F,67.2,6
70,66.5,F,66.5,7
70,66.5,F,66,8
70,66.5,F,66,9
70,66.5,F,64.2,10
70,66.5,F,63.7,11
70.5,65,M,72,1
70.5,65,M,70.2,2
70.5,65,M,69,3
70.5,65,M,68.5,4
70.5,65,F,68,5
70.5,65,F,65,6
70.5,65,F,61.5,7
70.5,65,F,61,8
70.5,65,F,61,9
70,65,M,73,1
70,65,M,72,2
70,65,M,70.5,3
70,65,M,65,4
70,65,M,65,5
70,65,F,64.5,6
70,65,F,63,7
70,65,F,62,8
70,65,M,67,9
70,65,M,65,10
70,65,F,64.5,11
70,65,F,62.5,12
70,65,F,62.5,13
70,65,M,70,14
70,65,M,70,15
70,65,F,67,16
70,65,F,65,17
70,65,F,65,18
70,65,F,63,19
70,65,M,79,20
70,65,M,75,21
70,65,M,71,22
70,65,F,69,23
70,65,F,67,24
70,65,F,65.7,25
70,65,F,62,26
70,65,M,73,27
70,65,M,72.5,28
70,65,F,65,29
70,65,M,69,30
70,65,M,69,31
70,64.7,M,72,1
70,64.7,M,70,2
70,64.7,M,68.7,3
70,64.7,F,66.5,4
70,64.7,F,65.5,5
70,64.7,F,64.7,6
70,64.7,F,64.5,7
70,64,M,70.7,1
70,64,M,70,2
70,64,M,68,3
70,64,M,67,4
70,64,M,66,5
70,64,M,65,6
70,64,F,67,7
70,64,M,70,8
70,64,M,68,9
70,64,M,66.7,10
70,64,F,65.5,11
70,64.2,M,72,1
70,64.2,M,70,2
70,64.2,F,62.5,3
70,64.2,F,61.2,4
70,64.2,F,60.1,5
70.5,64,M,74,1
70.5,64,M,69.5,2
70.5,64,M,69,3
70.5,64,M,68,4
70.5,64,M,68,5
70.5,64,M,68,6
70.5,64,F,65.5,7
70.5,64,F,65,8
70.5,64.5,F,60,1
70,64,M,68,1
70,64,F,65,2
70,64,F,64,3
70,64,F,62,4
70,64,M,71,5
70,64,M,70,6
70,64,M,70,7
70,64,M,70,8
70,64,M,69.5,9
70,64,M,68.5,10
70,64,F,69,11
70,64,F,65,12
70,64,F,64,13
70,63.7,M,70,1
70,63.7,M,67,2
70,63.7,M,65.5,3
70,63.7,F,63.7,4
70,63.7,F,63.2,5
70,63.7,F,62.5,6
70,63.7,F,62.2,7
70,63.7,F,61,8
70.5,63,M,72.5,1
70.5,63,M,69,2
70.5,63,M,67,3
70.5,63,F,64.5,4
70.5,63,F,64,5
70,63.5,M,71,1
70,63.5,M,67.5,2
70,63.5,F,67.5,3
70,63.5,F,63.5,4
70,63,M,68,1
70,63,M,67,2
70,63,F,63.7,3
70,63,F,62,4
70,63,M,70,5
70,63,M,66.5,6
70,63,F,62,7
70,63,F,61,8
70.5,62,M,72,1
70.5,62,M,70,2
70.5,62,M,69.5,3
70.5,62,M,69.5,4
70.5,62,M,68,5
70.5,62,F,65,6
70.5,62,F,64,7
70.5,62,F,63,8
70.3,62.7,M,70.7,1
70.3,62.7,M,69.7,2
70.3,62.7,M,69.2,3
70.3,62.7,M,65.2,4
70.3,62.7,F,64,5
70.3,62.7,F,63.5,6
70.3,62.7,F,63.2,7
70.5,62,M,72,1
70.5,62,M,72,2
70.5,62,F,60,3
70,61,M,71.2,1
70,61,M,67,2
70,60,M,67,1
70,60,M,64.5,2
70,60,F,65,3
70,60,F,63,4
70,60,F,65,5
70,60,F,65,6
70,58.5,M,71.5,1
70,58.5,M,64.5,2
70,58.5,F,63,3
70,58,M,72,1
70,58,M,66,2
70,58,F,66,3
70,58,F,65,4
70,58,F,63,5
69,68.5,M,75,1
69,68.5,M,71,2
69,68.5,M,70,3
69,68.5,F,66,4
69,68.5,F,66,5
69,68.5,F,65.5,6
69,68.5,F,65,7
69,68.5,F,65,8
69,68.5,F,64,9
69,68.5,F,64,10
69,67,F,64,1
69,66,M,73,1
69,66,M,72,2
69,66,M,71.7,3
69,66,M,71.5,4
69,66,F,65.5,5
69,66,F,65,6
69,66,F,62.7,7
69,66,F,62.5,8
69,66,M,71.2,9
69,66,M,71,10
69,66,M,70,11
69,66.7,M,75,1
69,66.7,M,74,2
69,66.7,M,72,3
69,66.7,M,68.5,4
69,66.7,M,67,5
69,66.7,M,66,6
69,66,M,70,1
69,66,M,68.5,2
69,66,M,68,3
69,66,F,65,4
69,66,F,63,5
69,66,F,62.5,6
69,66.5,M,73,1
69,66.5,M,71,2
69,66.5,M,70.5,3
69,66.5,M,70.5,4
69,66.5,F,61,5
69.5,66.5,M,70.5,1
69.5,66.5,M,67.5,2
69.5,66.5,F,64.5,3
69.5,66.5,F,64,4
69,66.5,M,71,1
69,66.5,F,68.5,2
69,66.5,F,67.5,3
69,66.5,F,66,4
69,66.5,F,63,5
69,66.5,F,63,6
69.5,66,M,71,1
69.5,66,M,71,2
69.5,66,M,70.5,3
69.5,66,M,70.5,4
69.5,66,F,66.5,5
69.5,66,F,65.5,6
69.5,66,F,64.5,7
69,66,M,73,1
69,66,M,72,2
69,66,M,69,3
69,66,M,69,4
69,66,F,66.5,5
69,66,F,65.5,6
69,66,F,65.5,7
69,66,F,65,8
69,66,F,64,9
69,65,M,70,1
69,65,M,68.5,2
69,65,M,67,3
69,65,F,65,4
69,65,F,64,5
69,65,F,63.5,6
69,65,F,61,7
69.5,64.5,M,69.7,1
69.5,64.5,M,68,2
69.5,64.5,M,60,3
69.5,64.5,F,65.2,4
69.5,64.5,F,64.5,5
69.5,64.5,F,63.7,6
69.5,64.5,F,60,7
69.2,64,M,71.7,1
69.2,64,M,66.5,2
69.2,64,F,65,3
69.2,64,F,63.5,4
69,63,M,69,1
69,63,F,67.5,2
69,63,F,63.5,3
69,63,M,72,4
69,63,M,73,5
69,63,M,70,6
69,63,M,70,7
69,63,M,64,8
69,63,F,66,9
69,63,F,62,10
69,63.5,M,70.5,1
69,63.5,M,67,2
69,63.5,M,66,3
69,63.5,F,65,4
69,63.5,F,63,5
69,63.5,F,62,6
69,63.5,F,61,7
69,63.5,M,70.5,8
69,63.5,F,63.7,9
69,63.5,F,63,10
69.7,62,F,62.5,1
69.5,62,M,73,1
69.5,62,M,72,2
69.5,62,M,69,3
69,62,M,73,1
69,62,M,71,2
69,62,M,71,3
69,62,M,69,4
69,62,F,63,5
69,62.5,M,71,1
69,62.5,M,70,2
69,62.5,M,70,3
69,62.5,M,69,4
69,62.5,F,63.5,5
69,62.5,F,62.5,6
69,62.5,F,62.5,7
69,62.5,F,62,8
69,62,M,72,1
69,62,M,68,2
69,62,F,66,3
69,62,F,66,4
69.5,61,M,70,1
69.5,61,M,69.5,2
69.5,61,M,69,3
69.5,61,F,63,4
69.5,61,F,62,5
69,61,M,68,1
69,61,M,68,2
69,61,M,67.5,3
69,61,M,64,4
69,61,M,63,5
69,61,M,63,6
69,61,F,63.5,7
69,61,F,62,8
69,61,F,62,9
69,60,M,70.5,1
69,60,F,68,2
69,60,F,62.5,3
69,60,M,69,4
69,60,M,66,5
69,60,F,61.7,6
69,60,F,60.5,7
69,60.5,M,69.5,1
68.7,70.5,M,71,1
68.7,70.5,F,61.7,2
68.5,67,M,73,1
68.5,67,M,71,2
68.5,67,F,67,3
68.5,66.5,M,70,1
68.5,66.5,M,69,2
68.5,66.5,M,69,3
68.5,66.5,M,68.7,4
68.5,66.5,M,68.5,5
68.5,66.5,M,68.5,6
68.5,66.5,M,68,7
68.5,66.5,M,68,8
68.5,66.5,M,68,9
68.5,66.5,F,63.2,10
68,65,M,67.5,1
68,65,M,66,2
68,65.5,M,66,1
68,65.5,F,64,2
68,65.5,M,71.7,3
68,65.5,M,71.5,4
68,65.5,M,70.7,5
68,65.5,M,65.5,6
68,65.5,F,66.5,7
68,65.5,F,65.2,8
68,65.5,F,61.5,9
68,65,M,72,1
68,65,M,72,2
68,65,F,68,3
68,65,F,66,4
68.5,65,M,69.2,1
68.5,65,M,68,2
68.5,65,M,66,3
68.5,65,M,66,4
68.5,65,F,62,5
68.5,65,F,61.5,6
68.5,65,F,61,7
68.5,65,F,60,8
68,64,M,71,1
68,64,M,68,2
68,64,M,68,3
68,64,M,67,4
68,64,F,65,5
68,64,F,64,6
68,64,F,63,7
68,64,F,63,8
68,64,F,62,9
68,64,F,61,10
68,64,M,66,11
68,64,M,63,12
68,64,F,65.5,13
68,64,F,62,14
68,64,M,71.2,15
68,64,M,71.2,16
68,64,M,69,17
68,64,M,68.5,18
68,64,F,62.5,19
68,64.5,F,62,1
68,64,M,69,1
68,64,M,67,2
68,64,M,66,3
68,64,F,66,4
68,64,F,66,5
68,64,F,65,6
68,64,F,65,7
68,64,F,65,8
68,64,F,64,9
68,64,F,63,10
68,63,M,70.5,1
68,63,M,70,2
68,63,M,68,3
68,63,M,66,4
68,63,M,66,5
68,63,F,66,6
68,63,F,62,7
68,63,F,61.5,8
68.5,63.5,M,73.5,1
68.5,63.5,M,70,2
68.5,63.5,M,69.5,3
68.5,63.5,F,65.5,4
68,63,M,67,1
68,63,M,70,2
68,63,M,68,3
68,63,F,64.5,4
68,63,F,64,5
68,63,M,71,6
68,63,M,68,7
68,63,M,66,8
68,63,M,65.5,9
68,63,M,65,10
68,63,F,63,11
68,63,F,62,12
68,63,F,62,13
68,63,M,67,14
68,63,M,67,15
68,63,M,66,16
68,63,F,64,17
68,63,F,63.5,18
68,63,F,61,19
68.5,63.5,M,68.2,1
68,63,M,70,1
68.2,63.5,M,70,1
68.2,63.5,M,69,2
68.2,63.5,M,67,3
68.2,63.5,M,65.5,4
68.2,63.5,F,64.5,5
68,62.5,M,68.5,1
68.7,62,M,67.7,1
68.7,62,F,61.7,2
68,62.5,M,66.5,1
68,61,M,68.5,1
68,61,M,68,2
68,61,M,64,3
68,61,F,63.5,4
68,61,F,63,5
68,60.2,M,66.7,1
68,60,M,64,1
68,60,F,61,2
68,60,F,61,3
68,60,F,60,4
68,60,F,60,5
68,60,F,60,6
68,60,F,56,7
68,60,M,67.5,8
68,60,M,67,9
68,60,M,66.5,10
68,60,F,60,11
68.5,59,M,69,1
68,59,M,68,1
68,59,M,65,2
68,59,M,64.7,3
68,59,M,64,4
68,59,M,64,5
68,59,M,63,6
68,59,F,65,7
68,59,F,65,8
68,59,F,62,9
68,59,F,61,10
67,66.2,M,72.7,1
67,66.2,M,72.7,2
67,66.2,M,71.5,3
67,66.2,F,65.5,4
67,66.2,F,63.5,5
67,66.5,M,71,1
67,65,M,69.7,1
67,65,M,67.5,2
67,65,F,65.5,3
67,65,F,65,4
67,65,F,64.5,5
67,65,F,63.5,6
67,65.5,M,70,1
67,65.5,M,69,2
67,65.5,F,65.5,3
67,65.5,F,65.5,4
67,65.5,F,63,5
67,65.5,M,70,6
67,65.5,M,67.7,7
67,65.5,F,63,8
67,65.5,F,60,9
67,65,M,65,1
67,65,F,62,2
67,65,F,62,3
67.5,65,M,71,1
67.5,65,M,69,2
67.5,65,F,64,3
67.5,65,F,64,4
67.5,65,F,63,5
67.5,65,F,63,6
67.5,65,F,63,7
67.5,65,F,63,8
67.5,65,F,63,9
67.5,65,F,62.5,10
67.5,65,F,62,11
67,64,M,71.5,1
67,64,M,70,2
67,64,M,67,3
67,64,M,67,4
67,63.5,M,71,1
67,63.5,M,70.2,2
67,63.5,M,69.2,3
67,63.5,M,68.5,4
67,63.5,M,68,5
67,63.5,M,67,6
67,63.5,M,65.5,7
67,63.5,F,63.5,8
67,63,M,69,1
67,63,M,68,2
67,63,F,63,3
67.5,62,M,70,1
67.5,62,M,69.5,2
67.5,62,M,69,3
67.5,62,M,68.5,4
67.5,62,F,66,5
67,61,M,67,1
66,67,M,70.5,1
66,67,M,70.5,2
66,67,M,67,3
66,67,M,66,4
66,67,M,66,5
66,67,F,62,6
66,67,F,62,7
66,67,F,61.5,8
66,67,M,72,9
66,67,M,65,10
66,67,M,65,11
66,67,F,67,12
66,67,F,64,13
66,67,F,64,14
66,67,F,62,15
66,67,F,60,16
66,67,F,60,17
66,66,M,66,1
66,66,M,65,2
66,66,F,67,3
66,66,F,66.5,4
66,66,F,65.5,5
66,66,M,72,6
66,66,M,68,7
66,66,F,66,8
66,66,F,65,9
66,66,F,62,10
66,66,F,61,11
66.5,65,M,68.7,1
66.5,65,M,68.5,2
66.5,65,M,66.5,3
66.5,65,M,64.5,4
66.5,65,F,62.5,5
66.5,65,F,60.5,6
66.5,65,F,60.5,7
66.5,65,F,57.5,8
66,65.5,M,72,1
66,65.5,M,71,2
66,65.5,M,67,3
66,65.5,F,66,4
66,65.5,F,65,5
66,63,M,70,1
66,63.5,F,64.5,1
66,63.5,F,62,2
66.5,63,M,67.2,1
66.5,63,M,67,2
66.5,63,M,65,3
66.5,63,F,65,4
66.5,63,F,65,5
66.5,63,F,63,6
66.5,62.5,M,70,1
66.5,62.5,M,68,2
66.5,62.5,F,63.5,3
66.5,62.5,F,62.5,4
66.5,62.5,F,62.5,5
66.5,62.5,F,62.5,6
66.5,62.5,F,62.5,7
66,61.5,M,70,1
66,60,M,68,1
66,60,M,67,2
66,60,M,65,3
66,60,F,60,4
66,60,M,65,5
66,59,M,68,1
66,59,M,67,2
66,59,M,66.5,3
66,59,M,66,4
66,59,M,65.7,5
66,59,M,65.5,6
66,59,M,65,7
66,59,F,65,8
66,59,F,64,9
66,59,F,63,10
66,59,F,62,11
66,59,F,61,12
66,59,F,60,13
66,59,F,58,14
66,59,F,57,15
65,67,M,66.5,1
65,67,M,66,2
65,67,M,66,3
65,67,F,65,4
65,67,F,63,5
65,66,M,63,1
65,66,F,63,2
65,66,F,63,3
65,66,F,60,4
65,65,M,69,1
65,65,M,68,2
65,65,M,68,3
65,65,F,65,4
65,65,F,65,5
65,65,F,62,6
65,65,F,62,7
65,65,F,61,8
65,65,F,59,9
65,65.5,M,70.7,1
65,65.5,F,65.5,2
65,65,M,69.2,1
65,65,M,69,2
65,65,M,68,3
65,65,M,67.7,4
65,65,F,64.5,5
65,65,F,60.5,6
65,64,M,67,1
65,64,M,67,2
65,64,F,64,3
65,64,F,64,4
65,64,F,62.5,5
65,64,F,60.5,6
65,63,M,70,1
65,63,F,63,2
65,63,M,66,3
65,63,M,66,4
65,63,F,63,5
65.5,63,M,71,1
65.5,63,M,71,2
65.5,63,M,69,3
65.5,63,F,63.5,4
65.5,60,M,68,1
65.5,60,M,68,2
65.5,60,M,67,3
65.5,60,M,67,4
65.5,60,F,62,5
64,64,M,71.5,1
64,64,M,68,2
64,64,F,65.5,3
64,64,F,64,4
64,64,F,62,5
64,64,F,62,6
64,64,F,61,7
64,64,M,70.5,8
64,64,M,68,9
64,64,F,67,10
64,64,F,65,11
64,64,F,64,12
64,64,F,64,13
64,64,F,60,14
64,63,M,64.5,1
64,60,M,66,1
64,60,F,60,2
62,66,M,64,1
62,66,F,62,2
62,66,F,61,3
62.5,63,M,66.5,1
62.5,63,F,57,2
68.5,65,M,72,1
68.5,65,M,70.5,2
68.5,65,M,68.7,3
68.5,65,M,68.5,4
68.5,65,M,67.7,5
68.5,65,F,64,6
68.5,65,F,63.5,7
68.5,65,F,63,8
0,0,F,0,1
100,100,M,100,1
